#629CE6
#7CAEC4
#8183EE
#A1B5DE
#8FB2DF
#3B2AE5
#7196FD
#88BFED
#557DED
#D4E7EE
#5475FE
#355183
#304274
#2B345C
#92FAFE
#76C8DB
#578DBA
#7C9FD7
#7EC5FE
#648BA6
#6B99D1
#6AA3EE
#6C9FBF
#A6C3F6
#7384D2
#567CD7
#AFC6DB
#6283D3
#6D77CD
#4E4DFC
