#A9C5E6
#CFE0F4
#629CE6
#7DADE0
#E0E9F1
#B2D4FC
#5F77A1
#5C98AC
#BBD5E7
#697B9B
#EFF6FD
#7DADE0
#88BFED
#6E9FC4
#5476FE
#DBEAEF
#5275A0
#9FB7C9
#ADBAE5
#B5D3DF
#B3C6DC
#A0B1AE
#9EDFF6
#AEC0E9
#78C5FE
#93C2EB
#657BC2
#9BBFC1
#4969C3
#98A4D0
