#4C3FCA
#233168
#2C26A2
#4E6EEA
#3F3CF0
#4C00EC
#242F77
#5F6183
#4845E2
#626582
#4265B0
#4F7ACD
#2600AD
#708FCF
#261C9B

#1D1E49
#2D00DD
#2D3993
#2700A6
#3821C4
#2E4288
#2B3986
#222F62
#4F70D0
#1B195E
#222777
#1F1E31
#2E4288
#436992
