#84DCFB
#5E87BB
#7AC1FC
#61A6AB
#90BFB6
#568D9E
#ACD1D7
#436D92
#82CBD0
#ADD2D6
#7ED2C4
#5997A0
#9DD9EB
#8AD3E2
#7CD5C2
#6DAAD8
#8BBADF
#69ADB5
#56807C
#89B9B8
#72C7B1
#8CECF6
#5A96A2
#62A9A3
#598DB6
#5C9DA5
#3D4F87
#CCEDED
#9DF5FE
#6288BC
