#569493
#629F92
#4D8293
#50879C
#67B2A0
#69A7E6
#92FAFE
#A7E4EC
#3D6560
#7ED1C5
#60A88B
#6AAA98
#5EA483
#63A0C6
#4D818F
#73B9D5
#ADF1FE
#6BAFE8
#58929D
#BAF8FA
#617B90
#558CB3
#4A7D85
#599887
#C3DCEA
#5384A5
#5F9181
#385D68
#5F97CF
#44746E
