#6197F9
#779CE1
#8CC0D5
#5476FE
#42668F
#6696CB
#8CEBF6
#A3D2E9
#6C98DA
#A2D1E8
#DCEEFB
#89C1E6
#BDD9F3
#C7D5EF
#3C5A98
#B8D2D8
#9AA7D2
#6FB3EE
#9EAED0
#466DB4
#C2E9EC
#9BC1FE
#4B6AE3
#BEE4EE
#2F3AA1
#B5D0ED
#86E3FA
#6F8CAD
#63A1DB
#9EAEE5
