#181C3E
#19007B
#241464
#32388B
#393F52
#252734
#0F122E
#394259
#504F61
#221848
#3B4A9A
#263452
#364369
#16171C
#1B1E29
#1A007F
#252F73
#3A3B58
#363F4F
#131932
#22293F
#3A3A82
#4A49B3
#242955
#110D2A
#191363
#29346E
#363B51
#0F1233
#3F4B82
