#4061A4
#6C8BDD
#2E38A0
#344F85
#5065D1
#4970BC
#5E85C7
#5C71B6
#B6D7F8
#5788D4
#4D6EAB
#5983F8
#4057C2
#4A5FF9
#4B68D0
#3300FD
#4A70B0
#4759B8
#3400FE
#202270
#3D5185

#7B9EF0
#2D2AA9
#3C35AC
#5986DE
#2900C8
#84C9F8
#3C42A7
#4D61C2
