#80AAC7
#5375FE
#34498D
#5E8D9C
#6EADDF
#71ADAC
#64AAA7
#71ADAC
#40B3AD
#75BAD9
#344A9F
#6AA1D4
#007FFF
#6B9BBA
#72B3B7
#73BFB9
#93B0A7
#7AD2A6
#6EADDF

#A0DBC6
#8DADBB
#72BCDA

#9AACB5
#A9BCBF

#6196BF
#5E97D9
#72B5C6
