#2911A3
#202566
#490DED
#A5BFEB
#2F4291
#1E008A
#3526DA
#5054E8
#2F326D
#534F96
#2E418D
#868FD8
#413E6B
#4B4FBB
#25009B
#212757
#494A88
#272776
#4B468D
#89A1D6
#2A1D9C
#6AA6DE
#261C60
#4158C7
#343863
#454DE3
#394AB7
#9CB2EA
#3B2DA1
#4B4AC9
